Name,Type,Mag,Dist. / kpc,Constellation,R.A.,Rahours,Raminutes,Radeg,Decl.,Decdeg,Decmin,DeclDeg,RadRa,RadDec,Other names
NGC 551,Galaxy,13.4,62800,Andromeda,127,1,27,21.75,+37°10',37,10,37.16666667,0.379609112,0.648680705,
NGC 909,Galaxy,14.5,62800,Andromeda,225,2,25,36.25,+42°02',42,2,42.03333333,0.632681854,0.733620062,
NGC 777,Galaxy,11.5,62950,Triangulum,200,2,0,30,+31°25',31,25,31.41666667,0.523598776,0.548324273,
NGC 496,Galaxy,13.7,63300,Pisces,123,1,23,20.75,+33°31',33,31,33.51666667,0.36215582,0.584976188,
NGC 452,Galaxy,12.6,63350,Pisces,116,1,16,19,+31°02',31,2,31.03333333,0.331612558,0.541633845,
NGC 26,Galaxy,13.8,63400,Pegasus,10,0,10,2.5,+25°49',25,49,25.81666667,0.043633231,0.450585835,
NGC 383,Galaxy,12.1,63400,Pisces,107,1,7,16.75,+32°24',32,24,32.4,0.29234265,0.565486678,
NGC 194,Galaxy,12.1,63600,Pisces,39,0,39,9.75,+03°02',3,2,3.033333333,0.170169602,0.052941654,
NGC 125,Galaxy,12.3,63700,Pisces,28,0,28,7,+02°50',2,50,2.833333333,0.122173048,0.049450995,
NGC 740,Galaxy,14.8,63800,Triangulum,156,1,56,29,+33°00',33,0,33,0.506145483,0.575958653,
NGC 792,Galaxy,14.5,64100,Aries,202,2,2,30.5,+15°42',15,42,15.7,0.532325422,0.274016693,
NGC 795,Galaxy,14.3,64100,Eridanus,159,1,59,29.75,-55°49',-55,-49,-55.81666667,0.519235452,-0.974184611,
NGC 820,Galaxy,13.7,64100,Aries,208,2,8,32,+14°20',14,20,14.33333333,0.558505361,0.250163859,
NGC 954,Galaxy,12.9,64100,Eridanus,228,2,28,37,-41°24',-41,-24,-41.4,0.645771823,-0.72256631,
NGC 19,Galaxy,13.8,64200,Andromeda,10,0,10,2.5,+32°58',32,58,32.96666667,0.043633231,0.575376877,
NGC 385,Galaxy,12.9,64300,Pisces,107,1,7,16.75,+32°19',32,19,32.31666667,0.29234265,0.564032237,
NGC 721,Galaxy,13.5,64300,Andromeda,154,1,54,28.5,+39°23',39,23,39.38333333,0.497418837,0.687368837,
NGC 822,Galaxy,13.2,64350,Phoenix,206,2,6,31.5,-41°09',-41,-9,-41.15,0.549778714,-0.718202987,
NGC 924,Galaxy,13.7,64700,Aries,226,2,26,36.5,+20°29',20,29,20.48333333,0.637045177,0.357501608,
NGC 504,Galaxy,13.9,64900,Pisces,123,1,23,20.75,+33°12',33,12,33.2,0.36215582,0.579449312,
NGC 251,Galaxy,12.6,65000,Pisces,47,0,47,11.75,+19°35',19,35,19.58333333,0.205076187,0.341793645,
NGC 195,Galaxy,13.4,65050,Cetus,39,0,39,9.75,-09°11',-9,-11,-9.183333333,0.170169602,-0.160279403,
NGC 958,Galaxy,12.2,65200,Cetus,230,2,30,37.5,-02°56',-2,-56,-2.933333333,0.654498469,-0.051196325,
NGC 876,Galaxy,16.5,65250,Aries,217,2,17,34.25,+14°31',14,31,14.51666667,0.597775269,0.25336363,
NGC 748,Galaxy,12.6,65400,Cetus,156,1,56,29,-04°28',-4,-28,-4.466666667,0.506145483,-0.07795804,
NGC 109,Galaxy,13.7,65600,Andromeda,26,0,26,6.5,+21°48',21,48,21.8,0.113446401,0.380481777,
NGC 196,Galaxy,13.5,65600,Cetus,39,0,39,9.75,+00°54',0,54,0.9,0.170169602,0.015707963,
NGC 379,Galaxy,12.8,65600,Pisces,107,1,7,16.75,+32°31',32,31,32.51666667,0.29234265,0.567522895,
NGC 380,Galaxy,12.5,65600,Pisces,107,1,7,16.75,+32°28',32,28,32.46666667,0.29234265,0.56665023,
