Name,Type,Mag,Dist. / kpc,Constellation,R.A.,Rahours,Raminutes,Radeg,Decl.,Decdeg,Decmin,DeclDeg,RadRa,RadDec,Other names
NGC 855,Galaxy,12.6,9280,Triangulum,214,2,14,33.5,+27°52',27,52,27.86666667,0.584685299,0.486365085,
NGC 768,Galaxy,14.2,92900,Cetus,158,1,58,29.5,+00°31',0,31,0.516666667,0.514872129,0.009017534,
NGC 429,Galaxy,14.4,93500,Cetus,112,1,12,18,-00°20',0,-20,-0.333333333,0.314159265,-0.005817764,
NGC 25,Galaxy,15.5,9380,Phoenix,9,0,9,2.25,-57°01',-57,-1,-57.01666667,0.039269908,-0.995128562,
NGC 690,Galaxy,14.3,93800,Cetus,147,1,47,26.75,-16°43',-16,-43,-16.71666667,0.466875575,-0.291760873,
NGC 840,Galaxy,13.4,94000,Cetus,210,2,10,32.5,+07°50',7,50,7.833333333,0.567232007,0.136717458,
NGC 27,Galaxy,14.4,94100,Andromeda,10,0,10,2.5,+28°59',28,59,28.98333333,0.043633231,0.505854595,
NGC 993,Galaxy,14.9,94150,Cetus,236,2,36,39,+02°03',2,3,2.05,0.680678408,0.03577925,
NGC 994,Duplicate,–,94150,Cetus,236,2,36,39,+02°03',2,3,2.05,0.680678408,0.03577925,
NGC 179,Galaxy,13.2,94400,Cetus,37,0,37,9.25,-17°50',-17,-50,-17.83333333,0.161442956,-0.311250383,
NGC 325,Galaxy,14.9,94550,Cetus,57,0,57,14.25,-05°06',-5,-6,-5.1,0.248709418,-0.089011792,
NGC 66,Galaxy,14.1,94600,Cetus,19,0,19,4.75,-22°56',-22,-56,-22.93333333,0.082903139,-0.400262175,
NGC 799,Galaxy,14.1,95000,Cetus,202,2,2,30.5,-00°06',0,-6,-0.1,0.532325422,-0.001745329,
NGC 653,Galaxy,14.1,96000,Andromeda,142,1,42,25.5,+35°38',35,38,35.63333333,0.445058959,0.62191899,
NGC 431,Galaxy,14,96150,Andromeda,114,1,14,18.5,+33°42',33,42,33.7,0.322885912,0.588175958,
NGC 934,Galaxy,13.4,96300,Cetus,227,2,27,36.75,-00°14',0,-14,-0.233333333,0.6414085,-0.004072435,
NGC 409,Galaxy,14.1,96400,Sculptor,109,1,9,17.25,-35°48',-35,-48,-35.8,0.301069296,-0.624827872,
NGC 2,Galaxy,16.2,96800,Pegasus,7,0,7,1.75,+27°40',27,40,27.66666667,0.030543262,0.482874426,Mrk 1175
NGC 223,Galaxy,14.3,97700,Cetus,42,0,42,10.5,+00°50',0,50,0.833333333,0.183259571,0.01454441,
NGC 219,Galaxy,15.2,98300,Cetus,42,0,42,10.5,+00°54',0,54,0.9,0.183259571,0.015707963,
